Control ID + Baseline  Designation Information,Requirement_Text
AC-01.a,X
AC-01.b,X
AC-01.c,X
AC-02.a,X
AC-02.b,X
AC-02.c,X
AC-02.d,X
AC-02.e,X
AC-02.f,X
AC-02.g,X
AC-02.h,X
AC-02.i,X
AC-02.j,X
AC-02.k, 
AC-02.l,X
AC-02(01),X
AC-02(02), 
AC-02(03).a, 
AC-02(03).b, 
AC-02(03).c, 
AC-02(03).d, 
AC-02(04),X
AC-02(05), 
AC-02(07).a,X
AC-02(07).b,X
AC-02(07).c,X
AC-02(07).d,X
AC-02(09), 
AC-02(12).a,X
AC-02(12).b,X
AC-02(13),X
AC-03,X
AC-04,X
AC-04(21),X
AC-05.a,X
AC-05.b,X
AC-06,X
AC-06(01).a,X
AC-06(01).b,X
AC-06(02),X
AC-06(05),X
AC-06(07).a,X
AC-06(07).b,X
AC-06(09),X
AC-06(10),X
AC-07.a,X
AC-07.b,X
AC-08.a,X
AC-08.b,X
AC-08.c,X
AC-11.a, 
AC-11.b, 
AC-11(01), 
AC-12,X
AC-14.a,X
AC-14.b,X
AC-17.a,X
AC-17.b,X
AC-17(01),X
AC-17(02),X
AC-17(03),X
AC-17(04).a,X
AC-17(04).b,X
AC-18.a,X
AC-18.b,X
AC-18(01), 
AC-18(03),X
AC-19.a, 
AC-19.b, 
AC-19(05), 
AC-20.a, 
AC-20.b, 
AC-20(01).a, 
AC-20(01).b, 
AC-20(02), 
AC-21.a,X
AC-21.b,X
AC-22.a,X
AC-22.b,X
AC-22.c,X
AC-22.d,X
AT-01.a,X
AT-01.b,X
AT-01.c,X
AT-02.a,X
AT-02.b,X
AT-02.c,X
AT-02.d,X
AT-02(02),X
AT-02(03),X
AT-03.a,X
AT-03.b,X
AT-03.c,X
AT-04.a,X
AT-04.b,X
AU-01.a,X
AU-01.b,X
AU-01.c,X
AU-02.a,X
AU-02.b,X
AU-02.c,X
AU-02.d,X
AU-02.e,X
AU-03.a,X
AU-03.b,X
AU-03.c,X
AU-03.d,X
AU-03.e,X
AU-03.f,X
AU-03(01),X
AU-04,X
AU-05.a,X
AU-05.b,X
AU-06.a,X
AU-06.b,X
AU-06.c,X
AU-06(01),X
AU-06(03),X
AU-07.a,X
AU-07.b,X
AU-07(01),X
AU-08.a,X
AU-08.b,X
AU-09.a,X
AU-09.b,X
AU-09(04),X
AU-11,X
AU-12.a,X
AU-12.b,X
AU-12.c,X
CA-01.a,X
CA-01.b,X
CA-01.c,X
CA-02.a,X
CA-02.b,X
CA-02.c,X
CA-02.d,X
CA-02.e,X
CA-02.f,X
CA-02(01),X
CA-02(03),X
CA-03.a, 
CA-03.b, 
CA-03.c, 
CA-05.a,X
CA-05.b,X
CA-06.a,X
CA-06.b,X
CA-06.c,X
CA-06.d,X
CA-06.e,X
CA-07.a,X
CA-07.b,X
CA-07.c,X
CA-07.d,X
CA-07.e,X
CA-07.f,X
CA-07.g,X
CA-07(01),X
CA-07(04).a,X
CA-07(04).b,X
CA-07(04).c,X
CA-08,X
CA-08(01),X
CA-08(02),X
CA-09.a,X
CA-09.b,X
CA-09.c,X
CA-09.d,X
CM-01.a,X
CM-01.b,X
CM-01.c,X
CM-02.a,X
CM-02.b,X
CM-02(02),X
CM-02(03),X
CM-02(07).a, 
CM-02(07).b, 
CM-03.a,X
CM-03.b,X
CM-03.c,X
CM-03.d,X
CM-03.e,X
CM-03.f,X
CM-03.g,X
CM-03(02),X
CM-03(04),X
CM-04,X
CM-04(02),X
CM-05,X
CM-05(01).a,X
CM-05(01).b,X
CM-05(05).a,X
CM-05(05).b,X
CM-06.a, 
CM-06.b, 
CM-06.c, 
CM-06.d, 
CM-06(01),X
CM-07.a,X
CM-07.b,X
CM-07(01).a,X
CM-07(01).b,X
CM-07(02),X
CM-07(05).a,X
CM-07(05).b,X
CM-07(05).c,X
CM-08.a,X
CM-08.b,X
CM-08(01),X
CM-08(03).a,X
CM-08(03).b,X
CM-09.a,X
CM-09.b,X
CM-09.c,X
CM-09.d,X
CM-09.e,X
CM-10.a,X
CM-10.b,X
CM-10.c,X
CM-11.a,X
CM-11.b,X
CM-11.c,X
CM-12.a,X
CM-12.b,X
CM-12.c,X
CM-12(01),X
CP-01.a,X
CP-01.b,X
CP-01.c,X
CP-02.a,X
CP-02.b,X
CP-02.c,X
CP-02.d,X
CP-02.e,X
CP-02.f,X
CP-02.g,X
CP-02.h,X
CP-02(01),X
CP-02(03),X
CP-02(08),X
CP-03.a,X
CP-03.b,X
CP-04.a,X
CP-04.b,X
CP-04.c,X
CP-04(01),X
CP-06.a,X
CP-06.b,X
CP-06(01),X
CP-06(03),X
CP-07.a, 
CP-07.b, 
CP-07.c, 
CP-07(01), 
CP-07(02), 
CP-07(03), 
CP-08, 
CP-08(01).a, 
CP-08(01).b, 
CP-08(02), 
CP-09.a,X
CP-09.b,X
CP-09.c,X
CP-09.d,X
CP-09(01),X
CP-09(08),X
CP-10,X
CP-10(02), 
IA-01.a,X
IA-01.b,X
IA-01.c,X
IA-02,X
IA-02(01),X
IA-02(02),X
IA-02(05), 
IA-02(06).a,X
IA-02(06).b,X
IA-02(08),X
IA-02(12), 
IA-03,X
IA-04.a,X
IA-04.b,X
IA-04.c,X
IA-04.d,X
IA-04(04),X
IA-05.a,X
IA-05.b,X
IA-05.c,X
IA-05.d,X
IA-05.e,X
IA-05.f,X
